date,numberOfShots,conditionMultiplier
18 June 2023	 ,58,1
23 July 2023	 ,59,1
15 October 2023	 ,57,1
21 April 2024	 ,60,1
21 July 2024	 ,56,1
11 August 2024	 ,54,1
8 June 2025		 ,55,x
15 June 2025	 ,52,1
12 July 2025	 ,56,x
25 August 2025	 ,51,x
28 September 2025,52,x
